ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global"
733,simple,AQ0500,"AQUALAR pH9+ (0,5 L)",1,0,visible,,"This is mountain water which comes from 425m depth from unpolluted are in Bulgaria. The water comes with natural pressure up to the mountain.
\nContains a large amount of Silicone (84mg/l) which is a very essential element for good health and Beauty.
\nLow mineralized 256mg/l and a great pH of 9,4. Suitable for everyday use.
\nVery light and pleasant taste.
\nIt is easy to drink AQUALAR pH9+ because it absorbs in the body 5 times faster than regular water.
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,,,,,1,,,0.746,"Water > Natural Mineral Water","0.5L, AQUALAR, pH9+",,https://pickaqua.com/wp-content/uploads/2023/02/aqualar-ph9-05l.webp,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,simple,AQ1500,"AQUALAR pH9+ (1,5L)",1,0,visible,,"This is mountain water which comes from 425m depth from unpolluted are in Bulgaria. The water comes with natural pressure up to the mountain.
\nContains a large amount of Silicone (84mg/l) which is a very essential element for good health and Beauty.
\nLow mineralized 256mg/l and a great pH of 9,4. Suitable for everyday use.
\nVery light and pleasant taste.
\nIt is easy to drink AQUALAR pH9+ because it absorbs in the body 5 times faster than regular water.
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,,,,,1,,,1.20,"Water > Natural Mineral Water","1.5L, AQUALAR, pH9+",,https://pickaqua.com/wp-content/uploads/2023/02/aqualar-ph9-15l.webp,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,simple,AQ19000,"AQUALAR pH9+ (19L)",1,0,visible,,"The only 19 L bottles with Natural Mineral Water in Latvia that are made of PET1 material.
\n19L bottles are disposable – always clean and sterile, without microcracks that can occur with reusable bottles.
\nDoes not contain BPA.
\nPurchase without obligation.
\n
\n&nbsp;
\n
\nThis is mountain water which comes from 425m depth from unpolluted are in Bulgaria. The water comes with natural pressure up to the mountain.
\nContains a large amount of Silicone (84mg/l) which is a very essential element for good health and Beauty.
\nLow mineralized 256mg/l and a great pH of 9,4. Suitable for everyday use.
\nVery light and pleasant taste.
\nIt is easy to drink AQUALAR pH9+ because it absorbs in the body 5 times faster than regular water.
\n
\n<iframe style=""display: none;""></iframe>
\n
